Pathways, Time (ms)
clinico_acne,=3.021656
clinico_bar__bbc__betabloqueador,=1.057167
clinico_cefaleia,=61.656245
clinico_diabetes_gestacional,=6.888637
clinico_diabetes__insulinoterapia,=0.551886
clinico_diabetes__tratamento_dm,=2.853058
clinico_dislipidemia,=2.037685
clinico_dispepsia,=5.19883
clinico_dispepsia_temp,=5.170373
clinico_dm_diabetes_mellitus,=3.202151
clinico_dor_articular,=12.604225
clinico_dor_lombar,=18.420906
clinico_duploterapia_linha_afro,=0.640056
clinico_duploterapia_linha_ieca,=0.324273
clinico_faringite,=6.308014
clinico_hipercalemia,=2.402499
clinico_hipertensao (2),=0.552912
clinico_hipertensao,=1.960664
clinico_hipertensao_duploterapia_bar,=0.367099
clinico_hipertensao_monoterapia_bar,=0.319515
clinico_hipertensao_triploterapia_bar,=0.330198
clinico_hipotireoidismo,=72003.593649
clinico_ieca__bbc__betabloqueador,=22.153111
clinico_infeccao_do_trato_urinario,=2.882076
clinico_insuficiencia_cardiaca,=0.7725
clinico_itu_episodio__ou_retorno,=3.462792
clinico_itu_verifica_episodio,=0.001539
clinico_medico_de_familia_diarreia,=2.187017
clinico_medico_de_familia_itu,=0.187025
clinico_medico_de_familia_vertigem,=0.819804
clinico_monoterapia_linha_afro,=0.684795
clinico_monoterapia_linha_ieca,=0.501409
clinico_nascer_bem_prematuridade,=0.520629
clinico_nascer_bem_toxoplasmose,=0.708867
clinico_otite_media_aguda,=1.068409
clinico_parasitose,=2.225131
clinico_protocolo_farmacologico_afroamericano,=0.19267
clinico_rinite_alergica,=5.011105
clinico_sifilis,=0.289192
clinico_sinusite,=0.876719
clinico_tetraterapia_bar,=0.321754
clinico_tetraterapia_linha_afro,=0.547127
clinico_tetraterapia_linha_ieca,=0.342934
clinico_transplante_renal,=0.469966
clinico_tratamento_dislipidemia__risco_alto,=0.242634
clinico_tratamento_dislipidemia__risco_baixo,=0.360335
clinico_tratamento_dislipidemia__risco_intermediario,=0.233863
clinico_tratamento_dislipidemia__risco_muito_alto,=0.266192
clinico_triploterapia_linha_afro,=0.479669
clinico_triploterapia_linha_ieca,=0.216742
clinico_vulvovaginite,=0.406193
hospitalar_acidente_vascular_cerebral_avc,=6.566182
hospitalar_afeccoes_dermatologicas,=1.315056
hospitalar_afeccoes_dermatologicas_pediatrico,=2.107336
hospitalar_afeccoes_oftalmologicas,=0.816912
hospitalar_amniorrexe_prematura,=0.840518
hospitalar_arboviroses_pediatrico,=1.897638
hospitalar_artrite_septica_pediatrica,=0.114622
hospitalar_asma,=0.340275
hospitalar_cefaleia,=0.593265
hospitalar_celulite_pediatrico,=0.471458
hospitalar_chikungunya,=0.938112
hospitalar_conjuntivite_pediatrico,=0.319468
hospitalar_corrimento_vaginal,=0.825542
hospitalar_corrimento_vaginal_obstetrico,=0.87546
hospitalar_curativo,=0.115835
hospitalar_dengue,=0.939699
hospitalar_diabetes_mellitus,=0.24156
hospitalar_diarreia,=1.26985
hospitalar_dispepsia,=0.962231
hospitalar_dor_abdominal,=1.241999
hospitalar_dor_abdominal_na_mulher,=1.311836
hospitalar_dor_abdominal_pediatrico,=68.817559
hospitalar_dor_musculoesqueletica,=0.323574
hospitalar_dor_toracica,=1.349624
hospitalar_dpoc,=0.737791
hospitalar_endometrite_puerperal,=0.26204
hospitalar_febre_sem_sinais_de_localizacao,=0.464134
hospitalar_fratura_exposta,=0.19099
hospitalar_geca_pediatrico,=0.381281
hospitalar_gestacao_prolongada,=0.27445
hospitalar_hemorragia_digestiva_alta,=1.337122
hospitalar_hemorragia_posparto,=0.306639
hospitalar_hipertensao_arterial_sistemica,=0.448879
hospitalar_ictericia_neonatal,=0.634085
hospitalar_infeccao_causada_pelo_herpes_virus,=0.704529
hospitalar_infeccao_do_trato_urinario_em_gestante_itu,=0.491612
hospitalar_infeccao_do_trato_urinario_itu,=1.419741
hospitalar_insuficiencia_cardiaca,=0.283313
hospitalar_ivas,=1.707534
hospitalar_ivas_pediatrico,=2.136073
hospitalar_laringite_pediatrico,=0.134916
hospitalar_lombalgia,=1.017979
hospitalar_meningite,=0.521562
hospitalar_nauseas_e_vomitos,=0.386086
hospitalar_nauseas_e_vomitos_obstetrico,=0.394997
hospitalar_neutropenia_febril,=2.437208
hospitalar_otalgia,=0.899765
hospitalar_pneumonia_adquirida_na_comunidade,=1.193995
hospitalar_pneumonia__influenza,=1583.499031
hospitalar_ramo,=0.690813
hospitalar_sepse_pediatrico,=0.496417
hospitalar_sibilancia_na_infancia,=0.920478
hospitalar_sindrome_hipertensiva,=3.64156
hospitalar_tce_pediatrico,=1.742382
hospitalar_tontura_e_vertigem,=0.915207
hospitalar_trabalho_de_parto_prematuro,=0.384687
hospitalar_tratamento_de_sepse,=0.270857
hospitalar_tratamento_de_sirs,=0.503741
hospitalar_tromboembolismo_pulmonar_tep,=0.455317
hospitalar_trombose_venosa_profunda_tvp,=1.616657
hospitalar_urticaria_pediatrico,=0.390658
hospitalar_verificar_arbovirose,=0.129411
hospitalar_verifica_sepse,=0.429659
hospitalar_zika,=0.399242
