Pathways; Result
clinico_acne;{AuxilioConduta: Classificar Acne Grau I=[predominio_comedonico=0,  papulo_pustuloso=0], AuxilioConduta: Classificação do Grau de Severidade=[grau_i=0,  grau_ii=0,  grau_iii=0]}
clinico_bar__bbc__betabloqueador;{}
clinico_cefaleia;{AuxilioConduta: Avaliar se houve melhora=[resposta_satisfatoria_tratamento=0,  piora_sintomas=0,  acometimento_neurologico=0], AuxilioConduta: Realizar Avaliação para Cefaléia Primária=[paciente_enxaqueca=0,  paciente_cefaleia_tensional=0,  paciente_outro_tipo_cefaleia=0], AuxilioConduta: Prescrever tratamento=[tratamento_crise_enxaqueca=0,  tratamento_cefaleia_tensional_cronica=0,  tratamento_outros_tipos_cefaleia=0]}
clinico_diabetes_gestacional;{null=[s6=0,  s11=0,  s13=0,  s14=0,  s18=0,  s19=0,  s20=0,  s21=0,  s22=0,  s29=0,  s33=0,  s34=0,  s35=0,  s37=0,  s38=0,  s43=0,  s44=0,  s45=0], AuxilioConduta: Controlado com Dieta=[controle_glicemico_jejum_70_90_pc002=0,  2h_almoco_100_120_pc002=1,  2h_jantar_100_120_pc002=1,  2h_cafe_100_120_pc002=1,  CONST_QUATRO=0]}
clinico_diabetes__insulinoterapia;{}
clinico_diabetes__tratamento_dm;{AuxilioConduta: Escolher Monoterapia=[monoterapia_opcao1=0,  monoterapia_opcao2=0], AuxilioConduta: Escolher Duploterapia=[duploterapia_opcao1=0,  duploterapia_opcao2=0], AuxilioConduta: Nível de HbA1c=[nivel_hba1c_menor_7_5=0,  nivel_hba1c_entre_7_e_9=0,  nivel_hba1c_maior_9=0]}
clinico_dislipidemia;{AuxilioConduta: Idade/Sexo=[paciente_sexo_masculino=0,  paciente_idade=0,  40=0,  paciente_sexo_feminino=0,  50=0]}
clinico_dispepsia;{AuxilioConduta: Risco de Dispepsias Funcional e/ou Orgânica=[dispepcia_funcional_tabagismo=0,  dispepcia_funcional_transtorno_psicologico=1,  1=5,  risco_dispepcia_organica_uso_cronico_aines=0,  risco_dispepcia_organica_tabagismo=1,  risco_dispepcia_organica_antecedente_ulcera=0,  risco_dispepcia_organica_ulcera_familia=0,  risco_dispepcia_organica_patologias_cronicas=1,  risco_dispepcia_organica_infeccap_helicobacter=1,  risco_dispepcia_organica_longo_tempo=1]}
clinico_dispepsia_temp;{AuxilioConduta: Risco de Dispepsias Funcional e/ou Orgânica=[dispepcia_funcional_tabagismo=0,  dispepcia_funcional_transtorno_psicologico=1,  1=5,  risco_dispepcia_organica_uso_cronico_aines=0,  risco_dispepcia_organica_tabagismo=1,  risco_dispepcia_organica_antecedente_ulcera=0,  risco_dispepcia_organica_ulcera_familia=0,  risco_dispepcia_organica_patologias_cronicas=1,  risco_dispepcia_organica_infeccap_helicobacter=1,  risco_dispepcia_organica_longo_tempo=1]}
clinico_dm_diabetes_mellitus;{AuxilioConduta: Escolher Monoterapia=[monoterapia_opcao1=0,  monoterapia_opcao2=0], AuxilioConduta: Escolher Duploterapia=[duploterapia_opcao1=0,  duploterapia_opcao2=0], AuxilioConduta: Nível de HbA1c=[nivel_hba1c_menor_7_5=0,  nivel_hba1c_entre_7_e_9=0,  nivel_hba1c_maior_9=0]}
