Pathway, Resolution Time, Variables, Constraints, BinaryTrees, Nodes, Backtracks, Fails, Restarts, Solutions
clinico_acne,=0.021012620170949958,=25.0,=18.0,=2.0,=2.0,=0.0,=2.0,=0.0,=2.0
clinico_bar__bbc__betabloqueador,=2.719770127441734E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_cefaleia,=0.15893119214160834,=142.0,=96.0,=7.0,=4092.0,=8182.0,=4095.0,=0.0,=3.0
clinico_diabetes_gestacional,=0.009166490941424854,=125.0,=96.0,=5.0,=72.0,=133.0,=78.0,=0.0,=2.0
clinico_diabetes__insulinoterapia,=2.001329921768047E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_diabetes__tratamento_dm,=0.0012838399998145178,=81.0,=62.0,=3.0,=3.0,=0.0,=12.0,=0.0,=3.0
clinico_dislipidemia,=0.0021604160356218927,=35.0,=20.0,=1.0,=9.0,=1.0,=3.0,=0.0,=1.0
clinico_dispepsia,=0.0073284328827867284,=80.0,=51.0,=2.0,=146.0,=267.0,=136.0,=0.0,=1.0
clinico_dispepsia_temp,=0.008192878944100812,=80.0,=51.0,=2.0,=146.0,=267.0,=136.0,=0.0,=1.0
clinico_dm_diabetes_mellitus,=0.0029478870274033397,=81.0,=62.0,=3.0,=3.0,=0.0,=12.0,=0.0,=3.0
clinico_dor_articular,=0.002198669986682944,=110.0,=74.0,=3.0,=13.0,=0.0,=10.0,=0.0,=3.0
clinico_dor_lombar,=0.02883835214015562,=83.0,=61.0,=2.0,=546.0,=1091.0,=549.0,=0.0,=1.0
clinico_duploterapia_linha_afro,=8.686440050951205E-4,=17.0,=12.0,=1.0,=4.0,=0.0,=2.0,=0.0,=1.0
clinico_duploterapia_linha_ieca,=2.8690500039374456E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_faringite,=0.01259488256619079,=77.0,=51.0,=2.0,=130.0,=258.0,=134.0,=0.0,=1.0
clinico_hipercalemia,=0.005979280816973187,=53.0,=30.0,=1.0,=6.0,=13.0,=9.0,=0.0,=0.0
clinico_hipertensao (2),=4.3945399374933913E-4,=20.0,=16.0,=0.0,=0.0,=0.0,=4.0,=0.0,=0.0
clinico_hipertensao,=0.0018296590133104473,=87.0,=69.0,=2.0,=2.0,=0.0,=13.0,=0.0,=2.0
clinico_hipertensao_duploterapia_bar,=3.550159963197075E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_hipertensao_monoterapia_bar,=6.601139903068542E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_hipertensao_triploterapia_bar,=3.8160600524861366E-4,=10.0,=8.0,=0.0,=0.0,=0.0,=2.0,=0.0,=0.0
clinico_hipotireoidismo,=64.72667034729238,=125.0,=86.0,=4.0,=4186157.0,=8372315.0,=4186161.0,=0.0,=1.0
clinico_ieca__bbc__betabloqueador,=0.03701956942677498,=204.0,=100.0,=1.0,=128.0,=160.0,=91.0,=0.0,=1.0
clinico_infeccao_do_trato_urinario,=8.275920044980012E-4,=47.0,=30.0,=3.0,=14.0,=0.0,=3.0,=0.0,=3.0
clinico_insuficiencia_cardiaca,=5.383540046750568E-4,=55.0,=34.0,=1.0,=3.0,=0.0,=3.0,=0.0,=1.0
clinico_itu_episodio__ou_retorno,=0.004033460892969742,=71.0,=51.0,=1.0,=147.0,=295.0,=155.0,=0.0,=0.0
clinico_itu_verifica_episodio,=null,=null,=null,=0.0,=null,=null,=null,=null,=null
clinico_medico_de_familia_diarreia,=0.001135023972892668,=50.0,=34.0,=2.0,=68.0,=127.0,=67.0,=0.0,=1.0
clinico_medico_de_familia_itu,=1.3062400103081018E-4,=5.0,=4.0,=0.0,=0.0,=0.0,=1.0,=0.0,=0.0
clinico_medico_de_familia_vertigem,=4.2685900552896783E-4,=35.0,=22.0,=2.0,=11.0,=0.0,=2.0,=0.0,=2.0
clinico_monoterapia_linha_afro,=5.915369983995333E-4,=27.0,=20.0,=1.0,=4.0,=0.0,=4.0,=0.0,=1.0
