Pathways, Time (ms)
clinico_acne,=0.307479
clinico_bar__bbc__betabloqueador,=0.114529
clinico_cefaleia,=1.460608
clinico_diabetes_gestacional,=5.525483
clinico_diabetes__insulinoterapia,=0.125585
clinico_diabetes__tratamento_dm,=0.802264
clinico_dislipidemia,=0.438802
clinico_dispepsia,=0.870748
clinico_dispepsia_temp,=0.947349
clinico_dm_diabetes_mellitus,=0.785655
clinico_dor_articular,=6.732354
clinico_dor_lombar,=4.438039
clinico_duploterapia_linha_afro,=0.216229
clinico_duploterapia_linha_ieca,=0.105478
clinico_faringite,=1.045504
clinico_hipercalemia,=1.203326
clinico_hipertensao (2),=0.165752
clinico_hipertensao,=0.983317
clinico_hipertensao_duploterapia_bar,=0.143219
clinico_hipertensao_monoterapia_bar,=0.118914
clinico_hipertensao_triploterapia_bar,=0.10907
clinico_hipotireoidismo,=2.281532
clinico_ieca__bbc__betabloqueador,=23.398936
clinico_infeccao_do_trato_urinario,=1.668393
clinico_insuficiencia_cardiaca,=0.601196
clinico_itu_episodio__ou_retorno,=0.652046
clinico_itu_verifica_episodio,=7.92E-4
clinico_medico_de_familia_diarreia,=0.725802
clinico_medico_de_familia_itu,=0.060506
clinico_medico_de_familia_vertigem,=0.332577
clinico_monoterapia_linha_afro,=0.323573
clinico_monoterapia_linha_ieca,=0.199761
clinico_nascer_bem_prematuridade,=0.212776
clinico_nascer_bem_toxoplasmose,=0.287419
clinico_otite_media_aguda,=0.450512
clinico_parasitose,=4.210847
clinico_protocolo_farmacologico_afroamericano,=0.107484
clinico_rinite_alergica,=3.921469
clinico_sifilis,=0.15241
clinico_sinusite,=1.034214
clinico_tetraterapia_bar,=0.205126
clinico_tetraterapia_linha_afro,=0.300668
clinico_tetraterapia_linha_ieca,=0.181753
clinico_transplante_renal,=0.215342
clinico_tratamento_dislipidemia__risco_alto,=0.105618
clinico_tratamento_dislipidemia__risco_baixo,=0.22122
clinico_tratamento_dislipidemia__risco_intermediario,=0.105712
clinico_tratamento_dislipidemia__risco_muito_alto,=0.101513
clinico_triploterapia_linha_afro,=0.23265
clinico_triploterapia_linha_ieca,=0.115135
clinico_vulvovaginite,=0.352871
hospitalar_acidente_vascular_cerebral_avc,=11.512536
hospitalar_afeccoes_dermatologicas,=1.714111
hospitalar_afeccoes_dermatologicas_pediatrico,=2.330097
hospitalar_afeccoes_oftalmologicas,=0.43745
hospitalar_amniorrexe_prematura,=0.428352
hospitalar_arboviroses_pediatrico,=1.254315
hospitalar_artrite_septica_pediatrica,=0.056448
hospitalar_asma,=0.210304
hospitalar_cefaleia,=0.543815
hospitalar_celulite_pediatrico,=0.313543
hospitalar_chikungunya,=0.647521
hospitalar_conjuntivite_pediatrico,=0.210024
hospitalar_corrimento_vaginal,=0.579783
hospitalar_corrimento_vaginal_obstetrico,=0.609127
hospitalar_curativo,=0.051409
hospitalar_dengue,=0.622282
hospitalar_diabetes_mellitus,=0.183852
hospitalar_diarreia,=0.981731
hospitalar_dispepsia,=0.492638
hospitalar_dor_abdominal,=13.458785
hospitalar_dor_abdominal_na_mulher,=1.90263
hospitalar_dor_abdominal_pediatrico,=53.864577
hospitalar_dor_musculoesqueletica,=0.60894
hospitalar_dor_toracica,=1.298494
hospitalar_dpoc,=0.447479
hospitalar_endometrite_puerperal,=0.138368
hospitalar_febre_sem_sinais_de_localizacao,=0.329498
hospitalar_fratura_exposta,=0.087611
hospitalar_geca_pediatrico,=0.296656
hospitalar_gestacao_prolongada,=0.173682
hospitalar_hemorragia_digestiva_alta,=0.767881
hospitalar_hemorragia_posparto,=0.186045
hospitalar_hipertensao_arterial_sistemica,=0.41557
hospitalar_ictericia_neonatal,=0.449112
hospitalar_infeccao_causada_pelo_herpes_virus,=0.53943
hospitalar_infeccao_do_trato_urinario_em_gestante_itu,=0.341581
hospitalar_infeccao_do_trato_urinario_itu,=0.983084
hospitalar_insuficiencia_cardiaca,=0.265912
hospitalar_ivas,=1.237241
hospitalar_ivas_pediatrico,=1.526806
hospitalar_laringite_pediatrico,=0.091063
hospitalar_lombalgia,=1.074287
hospitalar_meningite,=0.523848
hospitalar_nauseas_e_vomitos,=1.53497
hospitalar_nauseas_e_vomitos_obstetrico,=1.556197
hospitalar_neutropenia_febril,=0.942124
hospitalar_otalgia,=0.574418
hospitalar_pneumonia_adquirida_na_comunidade,=0.475004
hospitalar_pneumonia__influenza,=1.469098
hospitalar_ramo,=0.827315
hospitalar_sepse_pediatrico,=0.630866
hospitalar_sibilancia_na_infancia,=1.108203
hospitalar_sindrome_hipertensiva,=4.210987
hospitalar_tce_pediatrico,=1.753066
hospitalar_tontura_e_vertigem,=1.348132
hospitalar_trabalho_de_parto_prematuro,=0.512558
hospitalar_tratamento_de_sepse,=1.548965
hospitalar_tratamento_de_sirs,=1.075267
hospitalar_tromboembolismo_pulmonar_tep,=0.449439
hospitalar_trombose_venosa_profunda_tvp,=1.74019
hospitalar_urticaria_pediatrico,=0.322594
hospitalar_verificar_arbovirose,=0.125818
hospitalar_verifica_sepse,=0.418369
hospitalar_zika,=0.333277
