Pathway, Resolution Time, Variables, Constraints, BinaryTrees, Nodes, Backtracks, Fails, Restarts, Solutions
clinico_acne,=6.21392984612612E-4,=43.0,=21.0,=6.0,=15.0,=0.0,=0.0,=0.0,=6.0
clinico_bar__bbc__betabloqueador,=1.6001400217646733E-4,=10.0,=6.0,=2.0,=4.0,=0.0,=0.0,=0.0,=2.0
clinico_cefaleia,=0.0015982680051820353,=196.0,=108.0,=15.0,=74.0,=0.0,=0.0,=0.0,=15.0
clinico_diabetes_gestacional,=0.010656527010723948,=2861.0,=217.0,=167.0,=2800.0,=0.0,=0.0,=0.0,=167.0
clinico_diabetes__insulinoterapia,=3.5221700818510726E-4,=10.0,=6.0,=2.0,=4.0,=0.0,=0.0,=0.0,=2.0
clinico_diabetes__tratamento_dm,=8.98501995834522E-4,=99.0,=54.0,=17.0,=37.0,=0.0,=0.0,=0.0,=17.0
clinico_dislipidemia,=0.0011238260012760293,=35.0,=17.0,=3.0,=11.0,=1.0,=1.0,=0.0,=3.0
clinico_dispepsia,=7.912039836810436E-4,=80.0,=47.0,=4.0,=28.0,=0.0,=0.0,=0.0,=4.0
clinico_dispepsia_temp,=9.507499671599362E-4,=80.0,=47.0,=4.0,=28.0,=0.0,=0.0,=0.0,=4.0
clinico_dm_diabetes_mellitus,=6.577789990842575E-4,=99.0,=54.0,=17.0,=37.0,=0.0,=0.0,=0.0,=17.0
clinico_dor_articular,=0.0011359579966665478,=250.0,=123.0,=25.0,=77.0,=3.0,=3.0,=0.0,=25.0
clinico_dor_lombar,=0.003425594997679582,=217.0,=144.0,=9.0,=202.0,=305.0,=154.0,=0.0,=9.0
clinico_duploterapia_linha_afro,=3.130289951513987E-4,=17.0,=9.0,=3.0,=8.0,=0.0,=0.0,=0.0,=3.0
clinico_duploterapia_linha_ieca,=1.4555200323229656E-4,=10.0,=6.0,=2.0,=4.0,=0.0,=0.0,=0.0,=2.0
clinico_faringite,=9.656769907451235E-4,=191.0,=105.0,=10.0,=59.0,=3.0,=2.0,=0.0,=10.0
