Pathways, Time (ms)
clinico_acne,=0.591679
clinico_bar__bbc__betabloqueador,=0.167944
clinico_cefaleia,=5.43414
clinico_diabetes_gestacional,=1.457622
clinico_diabetes__insulinoterapia,=0.318862
clinico_diabetes__tratamento_dm,=2.774498
clinico_dislipidemia,=0.991855
clinico_dispepsia,=3.632416
clinico_dispepsia_temp,=3.693436
clinico_dm_diabetes_mellitus,=2.694957
clinico_dor_articular,=14.182908
clinico_dor_lombar,=20.61618
clinico_duploterapia_linha_afro,=0.696318
clinico_duploterapia_linha_ieca,=0.171164
clinico_faringite,=3.554882
clinico_hipercalemia,=2.47089
clinico_hipertensao (2),=0.343494
clinico_hipertensao,=0.526134
clinico_hipertensao_duploterapia_bar,=0.214923
clinico_hipertensao_monoterapia_bar,=0.175315
clinico_hipertensao_triploterapia_bar,=0.165612
clinico_hipotireoidismo,=9.238794
clinico_ieca__bbc__betabloqueador,=3.097278
clinico_infeccao_do_trato_urinario,=3.894037
clinico_insuficiencia_cardiaca,=1.21065
clinico_itu_episodio__ou_retorno,=2.419667
clinico_itu_verifica_episodio,=0.007371
clinico_medico_de_familia_diarreia,=2.530277
clinico_medico_de_familia_itu,=0.099974
clinico_medico_de_familia_vertigem,=1.177387
clinico_monoterapia_linha_afro,=1.621462
clinico_monoterapia_linha_ieca,=0.547407
clinico_nascer_bem_prematuridade,=0.528
clinico_nascer_bem_toxoplasmose,=1.228097
clinico_otite_media_aguda,=0.893
clinico_parasitose,=9.65777
clinico_protocolo_farmacologico_afroamericano,=0.129924
clinico_rinite_alergica,=13.938174
clinico_sifilis,=0.288025
clinico_sinusite,=1.450018
clinico_tetraterapia_bar,=0.725475
clinico_tetraterapia_linha_afro,=1.48384
clinico_tetraterapia_linha_ieca,=0.443094
clinico_transplante_renal,=0.512931
clinico_tratamento_dislipidemia__risco_alto,=0.222107
clinico_tratamento_dislipidemia__risco_baixo,=0.361734
clinico_tratamento_dislipidemia__risco_intermediario,=0.229711
clinico_tratamento_dislipidemia__risco_muito_alto,=0.279255
clinico_triploterapia_linha_afro,=0.700983
clinico_triploterapia_linha_ieca,=0.206992
clinico_vulvovaginite,=0.744509
hospitalar_acidente_vascular_cerebral_avc,=3.655415
hospitalar_afeccoes_dermatologicas,=3.014332
hospitalar_afeccoes_dermatologicas_pediatrico,=1.488692
hospitalar_afeccoes_oftalmologicas,=0.737511
hospitalar_amniorrexe_prematura,=0.869955
hospitalar_arboviroses_pediatrico,=5.389028
hospitalar_artrite_septica_pediatrica,=0.071237
hospitalar_asma,=0.443841
hospitalar_cefaleia,=1.483001
hospitalar_celulite_pediatrico,=0.495297
hospitalar_chikungunya,=2.501447
hospitalar_conjuntivite_pediatrico,=0.43633
hospitalar_corrimento_vaginal,=1.226278
hospitalar_corrimento_vaginal_obstetrico,=1.27139
hospitalar_curativo,=0.064658
hospitalar_dengue,=2.414255
hospitalar_diabetes_mellitus,=0.403721
hospitalar_diarreia,=4.033572
hospitalar_dispepsia,=2.695563
hospitalar_dor_abdominal,=3.846033
hospitalar_dor_abdominal_na_mulher,=4.248215
hospitalar_dor_abdominal_pediatrico,=1503.560667
hospitalar_dor_musculoesqueletica,=0.520023
hospitalar_dor_toracica,=5.852089
hospitalar_dpoc,=1.471524
hospitalar_endometrite_puerperal,=0.156841
hospitalar_febre_sem_sinais_de_localizacao,=0.672899
hospitalar_fratura_exposta,=0.125119
hospitalar_geca_pediatrico,=0.543302
hospitalar_gestacao_prolongada,=0.290218
hospitalar_hemorragia_digestiva_alta,=1.029922
hospitalar_hemorragia_posparto,=0.337616
hospitalar_hipertensao_arterial_sistemica,=0.535651
hospitalar_ictericia_neonatal,=1.176035
hospitalar_infeccao_causada_pelo_herpes_virus,=1.78017
hospitalar_infeccao_do_trato_urinario_em_gestante_itu,=0.420935
hospitalar_infeccao_do_trato_urinario_itu,=5.298571
hospitalar_insuficiencia_cardiaca,=0.385387
hospitalar_ivas,=4.687811
hospitalar_ivas_pediatrico,=15.032336
hospitalar_laringite_pediatrico,=0.129411
hospitalar_lombalgia,=3.53025
hospitalar_meningite,=1.374723
hospitalar_nauseas_e_vomitos,=0.611226
hospitalar_nauseas_e_vomitos_obstetrico,=0.577637
hospitalar_neutropenia_febril,=1.823976
hospitalar_otalgia,=4.05783
hospitalar_pneumonia_adquirida_na_comunidade,=1.040372
hospitalar_pneumonia__influenza,=6.331526
hospitalar_ramo,=2.093201
hospitalar_sepse_pediatrico,=0.814673
hospitalar_sibilancia_na_infancia,=3.191374
hospitalar_sindrome_hipertensiva,=14.547022
hospitalar_tce_pediatrico,=2.352722
hospitalar_tontura_e_vertigem,=3.493302
hospitalar_trabalho_de_parto_prematuro,=0.718338
hospitalar_tratamento_de_sepse,=0.513351
hospitalar_tratamento_de_sirs,=0.846769
hospitalar_tromboembolismo_pulmonar_tep,=1.701142
hospitalar_trombose_venosa_profunda_tvp,=14.495192
hospitalar_urticaria_pediatrico,=0.902051
hospitalar_verificar_arbovirose,=0.133143
hospitalar_verifica_sepse,=0.322594
hospitalar_zika,=1.338988
