Pathways; Result
clinico_acne;[]
clinico_bar__bbc__betabloqueador;[Encaminhamento: [Encaminhamento] Tetraterapia BAR]
clinico_cefaleia;[]
clinico_diabetes_gestacional;[AuxilioConduta: Verificar idade Gestacional ( entre 29 e 33 semanas), Tratamento: Solicitar Ecocardiograma Fetal *, AuxilioConduta: Verificar idade Gestacional ( entre 24 e 28 semanas), Tratamento: Solicitar Ecocardiograma Fetal, Tratamento: Solicitar Perfil Glicêmico (7 dias após dieta)]
clinico_diabetes__insulinoterapia;[]
clinico_diabetes__tratamento_dm;[]
clinico_dislipidemia;[]
clinico_dispepsia;[]
clinico_dispepsia_temp;[]
clinico_dm_diabetes_mellitus;[]
clinico_dor_articular;[]
clinico_dor_lombar;[]
clinico_duploterapia_linha_afro;[]
clinico_duploterapia_linha_ieca;[]
clinico_faringite;[]
clinico_hipercalemia;[]
clinico_hipertensao (2);[]
clinico_hipertensao;[AuxilioConduta: Avaliar critérios para prescrição, Receita: Gerar prescrição de metildopa 250 8/8, Receita: Gerar prescrição de metildopa 250 6/6, Receita: Gerar prescrição de metildopa 500 6/6, Receita: Gerar prescrição de metildopa + nifedipina 10mg, Receita: Gerar prescrição de metildopa + nifedipina 20mg, AuxilioConduta: Verificar Idade Gestacional [ > 20 semanas] [Fluxo 2], Receita: Adicionar AAS na prescrição, AuxilioConduta: Verificar Idade Gestacional [24 / 36] [Fluxo 2], AuxilioConduta: Verificar indicação de corticoide, AuxilioConduta: Verificar Necessidade de Prescrição Adicional [Fluxo 2], Informacao: Inserir prescrição adicional no Nascer Bem, Tratamento: Solicitar Pacote de Exames Pré-Eclampsia + US com Doppler e Cardiograma, Receita: Adicionar betametasona na prescrição]
clinico_hipertensao_duploterapia_bar;[]
clinico_hipertensao_monoterapia_bar;[]
clinico_hipertensao_triploterapia_bar;[]
clinico_hipotireoidismo;[]
clinico_ieca__bbc__betabloqueador;[]
clinico_infeccao_do_trato_urinario;[]
clinico_insuficiencia_cardiaca;[]
clinico_itu_episodio__ou_retorno;[]
clinico_itu_verifica_episodio;[]
clinico_medico_de_familia_diarreia;[]
clinico_medico_de_familia_itu;[]
clinico_medico_de_familia_vertigem;[]
clinico_monoterapia_linha_afro;[]
clinico_monoterapia_linha_ieca;[]
clinico_nascer_bem_prematuridade;[]
clinico_nascer_bem_toxoplasmose;[]
clinico_otite_media_aguda;[]
clinico_parasitose;[]
clinico_protocolo_farmacologico_afroamericano;[]
clinico_rinite_alergica;[Receita: [Rinite Leve, Moderada ou Grave] Tratamento]
clinico_sifilis;[]
clinico_sinusite;[]
clinico_tetraterapia_bar;[]
clinico_tetraterapia_linha_afro;[]
clinico_tetraterapia_linha_ieca;[]
clinico_transplante_renal;[]
clinico_tratamento_dislipidemia__risco_alto;[]
clinico_tratamento_dislipidemia__risco_baixo;[]
clinico_tratamento_dislipidemia__risco_intermediario;[]
clinico_tratamento_dislipidemia__risco_muito_alto;[]
clinico_triploterapia_linha_afro;[]
clinico_triploterapia_linha_ieca;[]
clinico_vulvovaginite;[]
hospitalar_acidente_vascular_cerebral_avc;[]
hospitalar_afeccoes_dermatologicas;[]
hospitalar_afeccoes_dermatologicas_pediatrico;[]
hospitalar_afeccoes_oftalmologicas;[]
hospitalar_amniorrexe_prematura;[Tratamento: Profilaxia para GBS - Parto Normal, Tratamento: Profilaxia para GBS - Cesárea, AuxilioConduta: Verificar Via de Parto]
hospitalar_arboviroses_pediatrico;[]
hospitalar_artrite_septica_pediatrica;[]
hospitalar_asma;[Receita: [Crise Moderada ou Grave] Receita]
hospitalar_cefaleia;[]
hospitalar_celulite_pediatrico;[]
hospitalar_chikungunya;[]
hospitalar_conjuntivite_pediatrico;[]
hospitalar_corrimento_vaginal;[]
hospitalar_corrimento_vaginal_obstetrico;[]
hospitalar_curativo;[]
hospitalar_dengue;[]
hospitalar_diabetes_mellitus;[]
hospitalar_diarreia;[]
hospitalar_dispepsia;[]
hospitalar_dor_abdominal;[Tratamento: Padrão de Exames (para cópia de passo)]
hospitalar_dor_abdominal_na_mulher;[]
hospitalar_dor_abdominal_pediatrico;[]
hospitalar_dor_musculoesqueletica;[]
hospitalar_dor_toracica;[]
hospitalar_dpoc;[]
hospitalar_endometrite_puerperal;[]
hospitalar_febre_sem_sinais_de_localizacao;[]
hospitalar_fratura_exposta;[]
hospitalar_geca_pediatrico;[]
hospitalar_gestacao_prolongada;[]
hospitalar_hemorragia_digestiva_alta;[]
hospitalar_hemorragia_posparto;[]
hospitalar_hipertensao_arterial_sistemica;[]
hospitalar_ictericia_neonatal;[]
hospitalar_infeccao_causada_pelo_herpes_virus;[]
hospitalar_infeccao_do_trato_urinario_em_gestante_itu;[Informacao: Reavaliar paciente, AuxilioConduta: Avaliar Melhora, Receita: Receita 03]
hospitalar_infeccao_do_trato_urinario_itu;[]
hospitalar_insuficiencia_cardiaca;[]
hospitalar_ivas;[]
hospitalar_ivas_pediatrico;[]
hospitalar_laringite_pediatrico;[]
hospitalar_lombalgia;[]
hospitalar_meningite;[]
hospitalar_nauseas_e_vomitos;[]
hospitalar_nauseas_e_vomitos_obstetrico;[]
hospitalar_neutropenia_febril;[]
hospitalar_otalgia;[]
hospitalar_pneumonia_adquirida_na_comunidade;[]
hospitalar_pneumonia__influenza;[]
hospitalar_ramo;[]
hospitalar_sepse_pediatrico;[]
hospitalar_sibilancia_na_infancia;[]
hospitalar_sindrome_hipertensiva;[Informacao: [Puerpério] Internar, Tratamento: [Puerpério]  Solicitar exames, AuxilioConduta: [Puerpério] Avaliar exames, Informacao: [Puerpério] MAPA + PN]
hospitalar_tce_pediatrico;[]
hospitalar_tontura_e_vertigem;[]
hospitalar_trabalho_de_parto_prematuro;[Informacao: Reavaliar novamente, AuxilioConduta: Reavaliar 2º]
hospitalar_tratamento_de_sepse;[]
hospitalar_tratamento_de_sirs;[]
hospitalar_tromboembolismo_pulmonar_tep;[]
hospitalar_trombose_venosa_profunda_tvp;[]
hospitalar_urticaria_pediatrico;[]
hospitalar_verificar_arbovirose;[]
hospitalar_verifica_sepse;[]
hospitalar_zika;[]
