Pathway, Resolution Time, Variables, Constraints, BinaryTrees, Nodes, Backtracks, Fails, Restarts, Solutions
clinico_acne,=5.234270047367318E-4,=81.0,=60.0,=12.0,=12.0,=0.0,=0.0,=0.0,=12.0
clinico_bar__bbc__betabloqueador,=2.1692800146411173E-4,=18.0,=12.0,=4.0,=4.0,=0.0,=0.0,=0.0,=4.0
clinico_cefaleia,=0.003966283995396225,=655.0,=352.0,=20.0,=279.0,=0.0,=0.0,=0.0,=20.0
clinico_diabetes_gestacional,=9.00834991625743E-4,=194.0,=121.0,=15.0,=43.0,=0.0,=0.0,=0.0,=15.0
clinico_diabetes__insulinoterapia,=2.906360004999442E-4,=46.0,=36.0,=7.0,=7.0,=0.0,=0.0,=0.0,=7.0
clinico_diabetes__tratamento_dm,=0.0016869059872988146,=687.0,=520.0,=37.0,=37.0,=0.0,=0.0,=0.0,=37.0
clinico_dislipidemia,=4.823720009881072E-4,=126.0,=73.0,=11.0,=33.0,=0.0,=0.0,=0.0,=11.0
clinico_dispepsia,=0.0011854069962282665,=514.0,=266.0,=12.0,=72.0,=0.0,=0.0,=0.0,=12.0
clinico_dispepsia_temp,=0.0013262930151540786,=514.0,=266.0,=12.0,=72.0,=0.0,=0.0,=0.0,=12.0
clinico_dm_diabetes_mellitus,=0.001135026001065853,=687.0,=520.0,=37.0,=37.0,=0.0,=0.0,=0.0,=37.0
clinico_dor_articular,=0.0016229940029006684,=326.0,=193.0,=27.0,=66.0,=0.0,=0.0,=0.0,=27.0
clinico_dor_lombar,=0.00308504202257609,=539.0,=306.0,=18.0,=214.0,=0.0,=0.0,=0.0,=18.0
clinico_duploterapia_linha_afro,=5.336870017345063E-4,=89.0,=62.0,=10.0,=20.0,=0.0,=0.0,=0.0,=10.0
clinico_duploterapia_linha_ieca,=1.5768099729029927E-4,=32.0,=26.0,=6.0,=6.0,=0.0,=0.0,=0.0,=6.0
clinico_faringite,=0.00200226802189718,=404.0,=200.0,=15.0,=158.0,=0.0,=0.0,=0.0,=15.0
clinico_hipercalemia,=0.002298971989148413,=220.0,=108.0,=11.0,=54.0,=12.0,=12.0,=0.0,=11.0
clinico_hipertensao (2),=2.533149981900351E-4,=60.0,=40.0,=8.0,=8.0,=0.0,=0.0,=0.0,=8.0
clinico_hipertensao,=3.1209499866236E-4,=101.0,=70.0,=12.0,=12.0,=0.0,=0.0,=0.0,=12.0
clinico_hipertensao_duploterapia_bar,=2.1086400192871224E-4,=49.0,=42.0,=8.0,=8.0,=0.0,=0.0,=0.0,=8.0
clinico_hipertensao_monoterapia_bar,=1.758739999786485E-4,=32.0,=26.0,=6.0,=6.0,=0.0,=0.0,=0.0,=6.0
clinico_hipertensao_triploterapia_bar,=1.9546799921954516E-4,=32.0,=26.0,=6.0,=6.0,=0.0,=0.0,=0.0,=6.0
clinico_hipotireoidismo,=0.004826993041206151,=1107.0,=569.0,=21.0,=376.0,=0.0,=0.0,=0.0,=21.0
clinico_ieca__bbc__betabloqueador,=0.0026539850514382124,=224.0,=100.0,=3.0,=60.0,=14.0,=14.0,=0.0,=3.0
clinico_infeccao_do_trato_urinario,=9.745440002006944E-4,=147.0,=83.0,=17.0,=59.0,=0.0,=0.0,=0.0,=17.0
clinico_insuficiencia_cardiaca,=5.238950034254231E-4,=256.0,=142.0,=14.0,=28.0,=0.0,=0.0,=0.0,=14.0
clinico_itu_episodio__ou_retorno,=0.0011154319981869776,=369.0,=204.0,=16.0,=106.0,=0.0,=0.0,=0.0,=16.0
clinico_itu_verifica_episodio,=null,=null,=null,=0.0,=null,=null,=null,=null,=null
clinico_medico_de_familia_diarreia,=8.182629971997812E-4,=229.0,=122.0,=10.0,=106.0,=0.0,=0.0,=0.0,=10.0
clinico_medico_de_familia_itu,=1.4228599684429355E-4,=18.0,=16.0,=5.0,=5.0,=0.0,=0.0,=0.0,=5.0
clinico_medico_de_familia_vertigem,=5.332209948392119E-4,=176.0,=109.0,=11.0,=61.0,=0.0,=0.0,=0.0,=11.0
clinico_monoterapia_linha_afro,=8.210630003304686E-4,=260.0,=193.0,=20.0,=40.0,=0.0,=0.0,=0.0,=20.0
clinico_monoterapia_linha_ieca,=4.987019965483341E-4,=131.0,=107.0,=13.0,=13.0,=0.0,=0.0,=0.0,=13.0
clinico_nascer_bem_prematuridade,=5.766100002801977E-4,=98.0,=70.0,=14.0,=14.0,=0.0,=0.0,=0.0,=14.0
clinico_nascer_bem_toxoplasmose,=9.689429971331265E-4,=369.0,=303.0,=24.0,=24.0,=0.0,=0.0,=0.0,=24.0
clinico_otite_media_aguda,=6.022680008754833E-4,=144.0,=101.0,=15.0,=20.0,=0.0,=0.0,=0.0,=15.0
clinico_parasitose,=0.0015138279886741657,=237.0,=140.0,=20.0,=78.0,=0.0,=0.0,=0.0,=20.0
clinico_protocolo_farmacologico_afroamericano,=1.2782600242644548E-4,=18.0,=12.0,=4.0,=4.0,=0.0,=0.0,=0.0,=4.0
clinico_rinite_alergica,=0.003530092002620222,=805.0,=411.0,=34.0,=289.0,=0.0,=0.0,=0.0,=34.0
clinico_sifilis,=2.925019980466459E-4,=52.0,=39.0,=8.0,=8.0,=0.0,=0.0,=0.0,=8.0
