Pathways, Time (ms)
clinico_acne,=0.591726
clinico_bar__bbc__betabloqueador,=0.158241
clinico_cefaleia,=45.728482
clinico_diabetes_gestacional,=2.909647
clinico_diabetes__insulinoterapia,=0.144386
clinico_diabetes__tratamento_dm,=1.039066
clinico_dislipidemia,=0.473091
clinico_dispepsia,=2.283118
clinico_dispepsia_temp,=2.143304
clinico_dm_diabetes_mellitus,=1.150423
clinico_dor_articular,=7.45853
clinico_dor_lombar,=11.348696
clinico_duploterapia_linha_afro,=0.440762
clinico_duploterapia_linha_ieca,=0.162673
clinico_faringite,=2.609398
clinico_hipercalemia,=0.926216
clinico_hipertensao (2),=0.245899
clinico_hipertensao,=1.010562
clinico_hipertensao_duploterapia_bar,=0.199994
clinico_hipertensao_monoterapia_bar,=0.133049
clinico_hipertensao_triploterapia_bar,=0.129131
clinico_hipotireoidismo,=61333.98003
clinico_ieca__bbc__betabloqueador,=14.170265
clinico_infeccao_do_trato_urinario,=1.815718
clinico_insuficiencia_cardiaca,=0.545587
clinico_itu_episodio__ou_retorno,=2.165417
clinico_itu_verifica_episodio,=8.86E-4
clinico_medico_de_familia_diarreia,=1.251143
clinico_medico_de_familia_itu,=0.06144
clinico_medico_de_familia_vertigem,=0.386366
clinico_monoterapia_linha_afro,=0.352031
clinico_monoterapia_linha_ieca,=0.192343
clinico_nascer_bem_prematuridade,=0.242074
clinico_nascer_bem_toxoplasmose,=0.316389
clinico_otite_media_aguda,=0.42532
clinico_parasitose,=1.965096
clinico_protocolo_farmacologico_afroamericano,=0.107671
clinico_rinite_alergica,=3.016198
clinico_sifilis,=0.162067
clinico_sinusite,=0.828948
clinico_tetraterapia_bar,=0.237595
clinico_tetraterapia_linha_afro,=0.390192
clinico_tetraterapia_linha_ieca,=0.225512
clinico_transplante_renal,=0.265306
clinico_tratamento_dislipidemia__risco_alto,=0.122646
clinico_tratamento_dislipidemia__risco_baixo,=0.198595
clinico_tratamento_dislipidemia__risco_intermediario,=0.114342
clinico_tratamento_dislipidemia__risco_muito_alto,=0.133842
clinico_triploterapia_linha_afro,=0.254016
clinico_triploterapia_linha_ieca,=0.11103
clinico_vulvovaginite,=0.342281
hospitalar_acidente_vascular_cerebral_avc,=900609.50354
hospitalar_afeccoes_dermatologicas,=1.040885
hospitalar_afeccoes_dermatologicas_pediatrico,=1.470218
hospitalar_afeccoes_oftalmologicas,=0.427233
hospitalar_amniorrexe_prematura,=0.529773
hospitalar_arboviroses_pediatrico,=1.902956
hospitalar_artrite_septica_pediatrica,=0.218841
hospitalar_asma,=0.972308
hospitalar_cefaleia,=0.460729
hospitalar_celulite_pediatrico,=0.251077
hospitalar_chikungunya,=1.129056
hospitalar_conjuntivite_pediatrico,=0.195375
hospitalar_corrimento_vaginal,=0.572832
hospitalar_corrimento_vaginal_obstetrico,=1.017466
hospitalar_curativo,=0.049404
hospitalar_dengue,=0.634365
hospitalar_diabetes_mellitus,=0.217255
hospitalar_diarreia,=1.105731
hospitalar_dispepsia,=0.529353
hospitalar_dor_abdominal,=2.032087
hospitalar_dor_abdominal_na_mulher,=1.109556
hospitalar_dor_abdominal_pediatrico,=55.26104
hospitalar_dor_musculoesqueletica,=0.317882
hospitalar_dor_toracica,=1.002118
hospitalar_dpoc,=0.419909
hospitalar_endometrite_puerperal,=0.136175
hospitalar_febre_sem_sinais_de_localizacao,=0.30272
hospitalar_fratura_exposta,=0.082572
hospitalar_geca_pediatrico,=0.249678
hospitalar_gestacao_prolongada,=0.17205
hospitalar_hemorragia_digestiva_alta,=0.995913
hospitalar_hemorragia_posparto,=0.187025
hospitalar_hipertensao_arterial_sistemica,=0.34284
hospitalar_ictericia_neonatal,=0.487647
hospitalar_infeccao_causada_pelo_herpes_virus,=0.489186
hospitalar_infeccao_do_trato_urinario_em_gestante_itu,=0.329685
hospitalar_infeccao_do_trato_urinario_itu,=0.941938
hospitalar_insuficiencia_cardiaca,=0.244873
hospitalar_ivas,=1.185364
hospitalar_ivas_pediatrico,=1.414563
hospitalar_laringite_pediatrico,=0.087331
hospitalar_lombalgia,=0.66912
hospitalar_meningite,=0.432738
hospitalar_nauseas_e_vomitos,=0.520629
hospitalar_nauseas_e_vomitos_obstetrico,=0.534298
hospitalar_neutropenia_febril,=0.992228
hospitalar_otalgia,=0.644862
hospitalar_pneumonia_adquirida_na_comunidade,=0.581416
hospitalar_pneumonia__influenza,=1344.124234
hospitalar_ramo,=0.703736
hospitalar_sepse_pediatrico,=0.492872
hospitalar_sibilancia_na_infancia,=0.969042
hospitalar_sindrome_hipertensiva,=3.653036
hospitalar_tce_pediatrico,=1.79995
hospitalar_tontura_e_vertigem,=0.930695
hospitalar_trabalho_de_parto_prematuro,=0.356463
hospitalar_tratamento_de_sepse,=0.488253
hospitalar_tratamento_de_sirs,=0.621069
hospitalar_tromboembolismo_pulmonar_tep,=0.423267
hospitalar_trombose_venosa_profunda_tvp,=1.530772
hospitalar_urticaria_pediatrico,=0.294836
hospitalar_verificar_arbovirose,=0.115508
hospitalar_verifica_sepse,=0.347506
hospitalar_zika,=0.330245
