Pathways; Result
clinico_acne;{AuxilioConduta: Classificar Acne Grau I=[predominio_comedonico=1,  papulo_pustuloso=1], AuxilioConduta: Classificação do Grau de Severidade=[grau_i=1,  grau_ii=1,  grau_iii=1]}
clinico_bar__bbc__betabloqueador;{}
clinico_cefaleia;{AuxilioConduta: Avaliar se houve melhora=[resposta_satisfatoria_tratamento=1,  piora_sintomas=1,  acometimento_neurologico=1], AuxilioConduta: Realizar Avaliação para Cefaléia Primária=[paciente_enxaqueca=1,  paciente_cefaleia_tensional=1,  paciente_outro_tipo_cefaleia=1], AuxilioConduta: Prescrever tratamento=[tratamento_crise_enxaqueca=1,  tratamento_cefaleia_tensional_cronica=1,  tratamento_outros_tipos_cefaleia=1]}
clinico_diabetes_gestacional;{null=[s6=1,  s11=1,  s13=1,  s14=1,  s18=1,  s19=1,  s20=1,  s21=1,  s22=1,  s29=1,  s33=1,  s34=1,  s35=1,  s37=1,  s38=1,  s43=1,  s44=1,  s45=1]}
clinico_diabetes__insulinoterapia;{}
clinico_diabetes__tratamento_dm;{AuxilioConduta: Escolher Monoterapia=[monoterapia_opcao1=1,  monoterapia_opcao2=1], AuxilioConduta: Escolher Duploterapia=[duploterapia_opcao1=1,  duploterapia_opcao2=1], AuxilioConduta: Nível de HbA1c=[nivel_hba1c_menor_7_5=1,  nivel_hba1c_entre_7_e_9=1,  nivel_hba1c_maior_9=1]}
clinico_dislipidemia;{AuxilioConduta: Idade/Sexo=[paciente_sexo_masculino=1,  paciente_idade=1,  40=1,  paciente_sexo_feminino=1,  50=0]}
clinico_dispepsia;{}
clinico_dispepsia_temp;{}
clinico_dm_diabetes_mellitus;{AuxilioConduta: Escolher Monoterapia=[monoterapia_opcao1=1,  monoterapia_opcao2=1], AuxilioConduta: Escolher Duploterapia=[duploterapia_opcao1=1,  duploterapia_opcao2=1], AuxilioConduta: Nível de HbA1c=[nivel_hba1c_menor_7_5=1,  nivel_hba1c_entre_7_e_9=1,  nivel_hba1c_maior_9=1]}
clinico_dor_articular;{AuxilioConduta: [Monoarticular Crônica] Suspeita de diagnóstico=[monoarticular_artrite_reativa=1,  monoarticular_psoriase=1], AuxilioConduta: [Poliarticular Aguda] Suspeita de Diagnóstico=[gonococcemia_poliarticular_aguda=1,  artrite_reativa_poliarticular_aguda=1], AuxilioConduta: [Inflamatória] Monoarticular ou Poliarticular?=[mono_ou_poliarticular=0,  1=0,  2=0], AuxilioConduta: [Poliarticular Crônica] Suspeita de Diagnóstico=[poliarticular_cronica_artrite_lupica=1,  poliarticular_cronica_artrite_reumatoide=1], AuxilioConduta: [Monoarticular] Aguda ou Crônica?=[monoarticular_dor_aguda_ou_cronica=0,  2=0,  1=0], AuxilioConduta: [Poliarticular] Aguda ou Crônica?=[dor_poliarticular=0,  2=0,  1=1,  3=0], AuxilioConduta: [Monoarticular Aguda] Suspeita de diagnóstico=[monoarticular_aguda_gota=1,  monoarticular_aguda_artrite_septica=1], AuxilioConduta: [Dor Inflamatória da Coluna] Suspeita de Diagnóstico=[dor_lombar_baixa=1,  espongilite_anquilosante=1]}
clinico_dor_lombar;{AuxilioConduta: Classificação da Intensidade da Dor=[classificacao_leve_moderada=1,  classificacao_dor_severa=1,  classificacao_dor_aguda_com_espasmos=1]}
clinico_duploterapia_linha_afro;{AuxilioConduta: Verificar Medicação=[medicacao_linha_duplo_afro=0,  UM=0,  DOIS=0]}
clinico_duploterapia_linha_ieca;{}
clinico_faringite;{AuxilioConduta: Definir Encaminhamentos=[imc_irregular=1,  7_ou_mais_episodios=1,  suspeita_difteria=1]}
clinico_hipercalemia;{AuxilioConduta: Avaliar exame de Potássio=[exame_potassio_serico=1,  6=0,  5, 5=1,  paciente_sintomas=0]}
