Pathway, States, Transitions, Path, Deadlock, Nondeterminism, Inaccessible States, Equivalent Transitions, Time (ms), Operation, Real Operation, Operands, Numeric, YesOrNo, Choice, Options, Addition, Real Addition, Subtraction, Real Subtraction, Multiplication, Real Multiplication, Division, Real Division, And, Real And, Or, Real Or, Xor, Real Xor, Implies, Real Implies, Affirmation, Real, Not Affirmation, Real Not, Equal, Real Equal, Greater, Real Greater, Greater or Equal, Real Greater or Equal, Less, Real Less, Less or Equal, Real Less or Equal
clinico_acne,=13,=16,=7,=2,=2,=0,=0,=202,=9,=9,=7,=0,=7,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=7,=7,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_bar__bbc__betabloqueador,=6,=4,=3,=0,=0,=1,=0,=9,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_cefaleia,=21,=26,=40,=3,=3,=0,=0,=395,=29,=75,=45,=3,=42,=0,=0,=8,=54,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=11,=11,=2,=2,=0,=0,=0,=0,=4,=4,=4,=4,=0,=0
clinico_diabetes_gestacional,=20,=50,=18,=2,=1,=5,=0,=79,=36,=50,=25,=2,=23,=0,=0,=8,=22,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=10,=10,=10,=10,=1,=1,=2,=2,=3,=3,=2,=2,=0,=0
clinico_diabetes__insulinoterapia,=7,=9,=4,=0,=0,=0,=0,=4,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_diabetes__tratamento_dm,=38,=53,=15,=3,=3,=0,=0,=36,=31,=31,=19,=0,=19,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=19,=19,=12,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_dislipidemia,=12,=11,=4,=1,=1,=0,=0,=17,=14,=14,=7,=3,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=2,=2,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=2,=2,=0,=0,=0,=0,=2,=2
clinico_dispepsia,=13,=14,=8,=1,=0,=0,=0,=58,=21,=43,=21,=1,=20,=0,=0,=6,=28,=0,=0,=0,=0,=0,=0,=3,=3,=1,=1,=0,=0,=0,=0,=2,=2,=3,=3,=0,=0,=0,=0,=3,=3,=3,=3,=0,=0
clinico_dispepsia_temp,=13,=14,=8,=1,=0,=0,=0,=47,=21,=43,=21,=1,=20,=0,=0,=6,=28,=0,=0,=0,=0,=0,=0,=3,=3,=1,=1,=0,=0,=0,=0,=2,=2,=3,=3,=0,=0,=0,=0,=3,=3,=3,=3,=0,=0
clinico_dm_diabetes_mellitus,=38,=53,=15,=3,=3,=0,=0,=22,=31,=31,=19,=0,=19,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=19,=19,=12,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_dor_articular,=28,=38,=20,=3,=8,=0,=0,=194,=42,=42,=22,=4,=14,=4,=19,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=0,=0,=0,=0,=0,=0,=14,=14,=14,=14,=7,=7,=0,=0,=1,=1,=1,=1,=0,=0
clinico_dor_lombar,=19,=24,=37,=1,=1,=0,=0,=87,=22,=49,=17,=2,=14,=1,=10,=5,=32,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=0,=0,=6,=6,=2,=2,=0,=0,=3,=3,=1,=1,=1,=1,=2,=2
clinico_duploterapia_linha_afro,=11,=13,=4,=1,=1,=0,=0,=5,=6,=6,=5,=2,=2,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
clinico_duploterapia_linha_ieca,=7,=8,=2,=0,=0,=0,=0,=8,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_faringite,=16,=22,=19,=1,=1,=0,=0,=42,=24,=35,=18,=2,=16,=0,=0,=5,=15,=0,=0,=0,=0,=0,=0,=2,=2,=1,=2,=0,=0,=0,=0,=6,=6,=5,=5,=0,=0,=0,=0,=2,=2,=3,=3,=0,=0
clinico_hipercalemia,=12,=14,=7,=0,=1,=0,=0,=16,=23,=23,=7,=3,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=2,=2,=0,=0,=0,=0,=6,=6,=4,=4,=0,=0,=3,=3,=0,=0,=0,=0,=3,=3
clinico_hipertensao (2),=9,=8,=5,=0,=0,=0,=0,=3,=8,=8,=4,=0,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_hipertensao,=26,=49,=14,=2,=2,=14,=0,=13,=31,=31,=18,=0,=18,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=18,=18,=13,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_hipertensao_duploterapia_bar,=9,=10,=2,=0,=0,=0,=0,=3,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_hipertensao_monoterapia_bar,=7,=8,=2,=0,=0,=0,=0,=2,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_hipertensao_triploterapia_bar,=7,=8,=2,=0,=0,=0,=0,=3,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_hipotireoidismo,=22,=30,=13,=1,=2,=0,=0,=139916,=28,=59,=29,=7,=7,=15,=30,=3,=31,=0,=0,=0,=0,=0,=0,=3,=3,=2,=5,=0,=0,=0,=0,=4,=4,=1,=1,=0,=0,=1,=1,=6,=6,=7,=7,=1,=1
clinico_ieca__bbc__betabloqueador,=4,=3,=3,=1,=0,=0,=0,=124,=60,=63,=10,=10,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=15,=18,=9,=9,=0,=0,=0,=0,=0,=0,=6,=6,=0,=0,=6,=6,=12,=12,=0,=0,=12,=12
clinico_infeccao_do_trato_urinario,=18,=23,=11,=3,=2,=0,=0,=17,=15,=15,=11,=5,=0,=6,=32,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=8,=8,=0,=0,=3,=3,=4,=4,=0,=0
clinico_insuficiencia_cardiaca,=15,=19,=30,=1,=3,=0,=0,=9,=20,=21,=13,=0,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=5,=3,=3,=0,=0,=0,=0,=7,=7,=6,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_itu_episodio__ou_retorno,=16,=18,=15,=0,=0,=0,=0,=25,=22,=34,=17,=1,=16,=0,=0,=2,=14,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=0,=0,=7,=7,=9,=9,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
clinico_itu_verifica_episodio,=1,=0,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_medico_de_familia_diarreia,=11,=15,=9,=1,=1,=0,=0,=19,=13,=23,=15,=4,=2,=9,=29,=2,=12,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=3,=3,=0,=0,=2,=2,=2,=2,=0,=0
clinico_medico_de_familia_itu,=6,=5,=2,=0,=0,=0,=0,=2,=2,=2,=1,=0,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_medico_de_familia_vertigem,=12,=13,=7,=2,=2,=0,=0,=8,=10,=14,=13,=1,=12,=0,=0,=2,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=2,=2,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0
clinico_monoterapia_linha_afro,=21,=25,=5,=1,=1,=0,=0,=14,=10,=10,=7,=2,=4,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
clinico_monoterapia_linha_ieca,=14,=17,=4,=0,=0,=0,=0,=6,=8,=8,=4,=0,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_nascer_bem_prematuridade,=15,=14,=6,=0,=0,=0,=0,=4,=10,=10,=5,=0,=5,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=5,=5,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_nascer_bem_toxoplasmose,=25,=28,=10,=0,=0,=0,=0,=6,=12,=12,=6,=0,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=6,=6,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_otite_media_aguda,=16,=21,=10,=2,=2,=0,=0,=6,=12,=12,=8,=2,=4,=2,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0
clinico_parasitose,=21,=33,=81,=2,=2,=0,=0,=40,=21,=21,=16,=9,=5,=2,=11,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=5,=5,=9,=9,=1,=1,=0,=0,=1,=1,=0,=0
clinico_protocolo_farmacologico_afroamericano,=5,=4,=3,=0,=0,=0,=0,=1,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_rinite_alergica,=36,=35,=27,=7,=8,=1,=0,=50,=59,=64,=27,=4,=18,=5,=18,=2,=4,=0,=0,=0,=0,=0,=0,=19,=19,=4,=7,=0,=0,=0,=0,=7,=7,=1,=1,=22,=22,=0,=0,=2,=2,=2,=2,=0,=0
clinico_sifilis,=8,=10,=4,=0,=0,=0,=0,=3,=6,=6,=3,=0,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_sinusite,=23,=25,=14,=2,=3,=0,=0,=8,=24,=27,=18,=1,=15,=2,=8,=0,=0,=0,=0,=0,=0,=0,=0,=1,=4,=2,=2,=0,=0,=0,=0,=11,=11,=6,=6,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0
clinico_tetraterapia_bar,=16,=20,=4,=0,=0,=0,=0,=3,=8,=8,=4,=0,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tetraterapia_linha_afro,=19,=23,=8,=1,=1,=0,=0,=5,=10,=10,=7,=2,=4,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tetraterapia_linha_ieca,=12,=15,=5,=0,=0,=0,=0,=2,=8,=8,=4,=0,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=4,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_transplante_renal,=7,=6,=3,=1,=1,=0,=0,=2,=8,=8,=5,=2,=2,=1,=2,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=2,=2,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tratamento_dislipidemia__risco_alto,=9,=9,=4,=0,=0,=0,=0,=1,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tratamento_dislipidemia__risco_baixo,=11,=13,=8,=1,=1,=0,=0,=3,=7,=7,=5,=0,=5,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=5,=5,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tratamento_dislipidemia__risco_intermediario,=9,=9,=4,=0,=0,=0,=0,=1,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
clinico_tratamento_dislipidemia__risco_muito_alto,=9,=9,=4,=0,=0,=0,=0,=1,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
